
Organizations Data Display
show all rows
show all rows with no data
show all rows with data
Showing data for all 220 organizations
Organizations Filter
Filter
Dashboard
Clear
Print
Name	Registrations	Enrollments	Certificates
Feather River CCD	12	2	0
Folsom Lake College	14	4	2
Foothill College	32	12	6
Foothill-De Anza CCD	12	2	0
Foundation for California CCs	10	9	6
Fresno	22	0	12
Fresno City College	45	22	12
Fullerton	111	6	21
Fullerton College	29	18	8
Gavilan College	87	35	17
Gavilan CCD	10	1	0
Glendale CC	43	17	8
Glendale CCD	16	9	3
Golden West College	16	7	4
Grossmont College	72	35	16
Grossmont-Cuyamaca CCD	42	18	9
Hartnell College	77	37	14
Hartnell Joint CCD	4	1	0
Humboldt	40	5	5
Imperial Valley College	36	10	5
Imperial Valley CCD	9	3	2
Irvine Valley College	17	7	4
Kern CCD	58	29	12
Lake Tahoe CC	3	2	0
Lake Tahoe CCD	2	1	0
Laney College	16	6	1
Las Positas College	10	4	2
Lassen College	14	4	0
Lassen CCD	10	5	5
Long Beach	76	2	13
Long Beach City College	87	36	18
Long Beach CCD	14	2	0
Los Angeles	192	1	37
Los Angeles City College	102	42	16
Los Angeles CCD	40	15	6
Los Angeles Harbor College	33	8	4
Los Angeles Mission College	191	65	27
Los Angeles Pierce College	62	26	13
Los Angeles Southwest College	20	4	1
Los Angeles Trade-Tech College	57	13	5
Los Angeles Valley College	39	14	7
Los Medanos College	11	5	1
Los Rios CCD	19	12	5
Madera CC	6	4	3
Marin CCD	1	0	0
Maritime Academy	0	0	0
Mendocino College	63	30	10
Mendocino-Lake CCD	26	12	5
Merced College	166	77	42
Merced CCD	38	18	8
Merritt College	12	5	1
MiraCosta College	52	29	11
Miracosta CCD	20	7	5
Mission College	15	7	2
Modesto Junior College	30	19	10
Monterey Bay	6	0	2
Monterey Peninsula College	20	14	3
Monterey Peninsula CCD	1	0	0
Moorpark College	149	64	22
Moreno Valley College	12	8	3
Mt. San Antonio College	30	11	4
Mt. San Antonio CCD	3	2	0
Mt. San Jacinto College	19	10	7
Mt. San Jacinto CCD	11	3	1
Napa Valley College	6	3	3
Napa Valley CCD	1	1	0
Norco College	43	18	9
North Orange Cont Ed	94	43	25
North Orange County CCD	19	8	2
Northridge	104	4	20
Ohlone College	24	12	5
Ohlone CCD	10	7	1
Orange Coast College	43	21	4
Oxnard College	45	19	5
Palo Verde College	9	4	4
Palo Verde CCD	4	2	1
Palomar College	97	47	19
Palomar CCD	42	17	9
Pasadena Area CCD	22	8	3
Pasadena City College	47	24	8
Peralta CCD	11	3	0
Pomona	78	2	16
Porterville College	25	14	6
Rancho Santiago CCD	26	7	4
Redwoods CCD	3	1	0
Reedley College	28	14	2
Rio Hondo College	67	30	13
Rio Hondo CCD	18	7	2
Riverside City College	17	13	8
Riverside CCD	19	8	4
Sacramento	108	3	29
Sacramento City College	27	10	7
Saddleback College	69	29	10
San Bernardino	20	0	5
San Bernardino CCD	29	12	5
San Bernardino Valley College	56	24	8
San Diego	46	2	10
San Diego City College	26	13	7
San Diego College of Cont Ed	4	2	1
San Diego CCD	14	7	2
San Diego Mesa College	16	7	2
San Diego Miramar College	10	4	1
San Francisco	27	1	7
San Francisco CCD	11	4	0
San Joaquin Delta College	8	3	2
San Joaquin Delta CCD	4	2	1
San Jose	4	2	3
San Jose City College	68	31	22
San Jose-Evergreen CCD	15	8	4
San Luis Obispo	46	0	8
San Luis Obispo County CCD	1	0	0
San Marcos	45	2	13
San Mateo County CCD	7	5	4
Santa Ana College	105	35	14
Santa Barbara City College	40	13	3
Santa Barbara CCD	14	4	3
Santa Clarita CCD	7	2	2
Santa Monica College	28	14	4
Santa Monica CCD	6	3	0
Santa Rosa Junior College	61	30	15
Santiago Canyon College	7	2	1
Sequoias CCD	3	3	2
Shasta College	17	8	5
Shasta-Tehama-Trinity Joint CCD	2	1	0
Sierra College	49	22	9
Sierra Joint CCD	4	1	1
Siskiyou Joint CCD	4	2	2
Skyline College	6	3	2
Solano CC	20	8	3
Solano CCD	8	2	1
Sonoma	26	0	11
Sonoma County JCD	5	2	2
South Orange County CCD	9	4	1
Southwestern College	142	56	37
Southwestern CCD	92	41	25
Stanislaus	7	1	2
State Center CCD	39	18	7
Taft College	42	26	15
Ventura College	91	45	24
Ventura County CCD	30	14	11
Victor Valley College	69	29	13
Victor Valley CCD	14	6	1
West Hills College Coalinga	12	4	3
West Hills College Lemoore	6	4	3
West Hills CCD	4	2	1
West Kern CCD	3	2	1
West Los Angeles College	33	5	0
West Valley College	26	9	4
West Valley-Mission CCD	11	6	5
Woodland CC	32	7	5
Yosemite CCD	25	12	5
Yuba College	18	6	4
Yuba CCD	27	2	0
Name	Registrations	Enrollments	Certificates
Application Logs
Clear
×
2:08:28 PM [INFO] [logging] Cleared stored logs
2:09:10 PM [INFO] [code-metrics] DRY implementation success
{ "component": "logging-utils", "reduction": "100.0%", "originalLines": 172, "reducedLines": 0, "linesSaved": 172 }
2:09:10 PM [INFO] [code-metrics] DRY reduction tracked for logging-utils
{ "reduction": "100.0%", "linesSaved": 172, "description": "Converted all console statements to centralized logging system" }
2:09:10 PM [INFO] [code-metrics] DRY implementation success
{ "component": "reports-data", "reduction": "100.0%", "originalLines": 24, "reducedLines": 0, "linesSaved": 24 }
2:09:10 PM [INFO] [code-metrics] DRY reduction tracked for reports-data
{ "reduction": "100.0%", "linesSaved": 24, "description": "Eliminated infinite loop and standardized logging" }
2:09:10 PM [INFO] [code-metrics] DRY implementation success
{ "component": "unified-data-service", "reduction": "66.7%", "originalLines": 15, "reducedLines": 5, "linesSaved": 10 }
2:09:10 PM [INFO] [code-metrics] DRY reduction tracked for unified-data-service
{ "reduction": "66.7%", "linesSaved": 10, "description": "Unified data service with centralized error handling" }
2:09:10 PM [INFO] [code-metrics] DRY implementation success
{ "component": "unified-table-updater", "reduction": "75.0%", "originalLines": 8, "reducedLines": 2, "linesSaved": 6 }
2:09:10 PM [INFO] [code-metrics] DRY reduction tracked for unified-table-updater
{ "reduction": "75.0%", "linesSaved": 6, "description": "Unified table update system with consistent logging" }
2:09:10 PM [INFO] [code-metrics] DRY implementation success
{ "component": "error-handling", "reduction": "68.0%", "originalLines": 25, "reducedLines": 8, "linesSaved": 17 }
2:09:10 PM [INFO] [code-metrics] DRY reduction tracked for error-handling
{ "reduction": "68.0%", "linesSaved": 17, "description": "Centralized error scenario tracking and logging" }
2:09:10 PM [INFO] [code-metrics] DRY implementation summary
